Month,TicketVolume,AvgFirstResponseMinutes,AvgResolutionHours,FCRRate,EscalationRate,AvgCSAT,CSATResponseRate,NPS
2024-01,589,13.0,6.63,68.1,11.2,4.19,56.7,-18.3
2024-02,571,13.4,6.9,70.1,10.3,4.18,55.0,-18.5
2024-03,548,13.3,6.78,64.6,9.7,4.24,55.5,-16.7
2024-04,523,13.7,6.67,66.5,9.9,4.23,51.4,-39.0
2024-05,550,13.5,6.98,64.4,9.5,4.15,60.5,-22.3
2024-06,566,13.7,6.82,69.4,13.4,4.19,52.5,-12.8
2024-07,572,13.2,6.66,64.2,8.4,4.18,54.0,-22.2
2024-08,588,13.0,6.59,64.8,10.0,4.17,55.1,-33.3
2024-09,618,13.6,6.24,68.0,10.0,4.24,55.7,-31.3
2024-10,613,12.9,6.66,63.3,9.5,4.12,55.8,-24.3
2024-11,1164,21.6,12.14,58.2,14.0,3.79,55.5,-55.6
2024-12,1274,22.8,13.5,57.1,14.0,3.77,55.1,-47.6
2025-01,643,13.3,6.8,65.0,9.2,4.2,55.7,-12.9
2025-02,624,14.0,6.88,62.7,9.5,4.19,58.3,-17.6
2025-03,536,8.2,5.87,75.0,5.2,4.47,54.9,12.0
2025-04,571,8.7,6.13,74.4,8.1,4.44,55.2,0.0
2025-05,541,9.1,6.19,73.9,7.6,4.44,55.1,-17.2
2025-06,531,8.6,6.39,76.5,6.8,4.47,55.4,-9.0
2025-07,531,9.1,6.25,76.1,6.4,4.44,56.1,-6.8
2025-08,583,8.9,6.44,76.2,6.7,4.44,50.6,0.0
2025-09,553,8.9,6.24,74.5,7.2,4.47,54.4,14.3
2025-10,595,8.3,5.98,74.6,7.9,4.45,53.9,-8.1
2025-11,675,8.8,5.92,76.0,9.6,4.46,55.0,10.1
2025-12,747,8.7,6.46,75.6,7.0,4.44,53.5,4.1
2026-01,603,8.4,6.19,76.5,6.1,4.39,54.1,18.6
2026-02,545,8.3,6.01,75.0,6.2,4.42,56.5,-6.1
2026-03,576,9.2,6.2,72.2,8.0,4.42,55.4,-7.9
2026-04,597,8.0,6.04,74.4,5.7,4.41,57.6,3.3
2026-05,529,9.2,6.22,75.8,5.9,4.39,53.7,-5.3
2026-06,592,9.5,5.91,74.8,5.4,4.45,57.6,0.0
2026-07,582,8.7,6.2,75.1,6.0,4.46,57.2,0.0
2026-08,614,9.9,6.49,74.3,9.0,4.41,56.4,-3.4
