InteractionID,CustomerID,AgentID,Date,Month,Category,Channel,FirstResponseMinutes,ResolutionHours,FCR,Escalated,SurveySent,CSATScore,NPSSent,NPSScore
INT500001,C10250,A122,2024-01-19,2024-01,Shipping & Delivery,Phone,5.1,2.77,True,False,False,,True,7.0
INT500002,C11981,A119,2024-01-20,2024-01,Shipping & Delivery,Email,10.4,1.78,True,False,True,4.5,True,9.0
INT500003,C11255,A110,2024-01-23,2024-01,Shipping & Delivery,Social,7.7,5.04,True,False,True,5.0,False,
INT500004,C11913,A113,2024-01-19,2024-01,Shipping & Delivery,Chat,3.4,6.08,True,False,False,,False,
INT500005,C11465,A113,2024-01-19,2024-01,Shipping & Delivery,Phone,2.5,9.8,False,True,False,,True,9.0
INT500006,C10271,A101,2024-01-14,2024-01,Shipping & Delivery,Chat,7.6,2.87,False,True,True,3.5,False,
INT500007,C12072,A109,2024-01-03,2024-01,Shipping & Delivery,Phone,18.4,6.88,True,False,True,4.5,False,
INT500008,C11175,A103,2024-01-17,2024-01,Shipping & Delivery,Email,6.0,1.31,True,True,True,3.5,False,
INT500009,C10760,A106,2024-01-22,2024-01,Shipping & Delivery,Phone,14.9,9.53,True,False,False,,False,
INT500010,C11736,A103,2024-01-14,2024-01,Shipping & Delivery,Phone,38.8,1.83,False,True,True,4.0,False,
INT500011,C11135,A105,2024-01-17,2024-01,Shipping & Delivery,Phone,8.2,5.06,True,True,True,4.5,False,
INT500012,C11325,A117,2024-01-18,2024-01,Shipping & Delivery,Email,28.2,14.35,False,False,False,,True,5.0
INT500013,C11119,A111,2024-01-21,2024-01,Shipping & Delivery,Email,14.8,5.21,True,False,True,4.0,True,5.0
INT500014,C11831,A105,2024-01-06,2024-01,Shipping & Delivery,Chat,4.1,8.74,False,False,True,4.0,False,
INT500015,C10868,A113,2024-01-22,2024-01,Shipping & Delivery,Chat,4.1,7.29,True,False,True,4.5,True,9.0
INT500016,C11122,A112,2024-01-15,2024-01,Shipping & Delivery,Email,23.0,3.9,True,False,True,4.0,False,
INT500017,C11617,A118,2024-01-18,2024-01,Shipping & Delivery,Social,17.9,16.96,True,True,True,4.5,False,
INT500018,C10516,A121,2024-01-25,2024-01,Shipping & Delivery,Chat,0.9,11.23,False,False,True,4.0,True,10.0
INT500019,C12125,A119,2024-01-19,2024-01,Shipping & Delivery,Chat,5.5,5.52,True,False,True,4.5,False,
INT500020,C11132,A119,2024-01-17,2024-01,Shipping & Delivery,Email,8.3,11.55,True,False,True,4.0,True,7.0
INT500021,C11855,A108,2024-01-05,2024-01,Shipping & Delivery,Chat,8.7,5.13,True,False,True,5.0,False,
INT500022,C11500,A111,2024-01-22,2024-01,Shipping & Delivery,Phone,11.4,10.86,False,False,False,,False,
INT500023,C11728,A103,2024-01-14,2024-01,Shipping & Delivery,Phone,7.1,9.59,False,False,True,4.5,False,
INT500024,C11674,A104,2024-01-27,2024-01,Shipping & Delivery,Phone,17.8,4.82,True,False,True,4.0,False,
INT500025,C11210,A114,2024-01-07,2024-01,Shipping & Delivery,Phone,1.7,6.49,False,False,True,4.0,False,
INT500026,C10523,A107,2024-01-27,2024-01,Shipping & Delivery,Chat,2.4,3.12,True,False,False,,False,
INT500027,C10500,A113,2024-01-09,2024-01,Shipping & Delivery,Email,10.4,12.61,False,False,True,3.5,False,
