Month,Category,TicketVolume,AvgFirstResponseMinutes,AvgResolutionHours,FCRRate,EscalationRate,AvgCSAT,CSATResponseRate,NPS
2024-01,Billing & Payments,80,9.5,4.69,83.8,3.8,4.44,61.3,-22.2
2024-02,Billing & Payments,66,10.8,4.85,75.8,4.5,4.39,53.0,-18.2
2024-03,Billing & Payments,75,10.1,4.42,80.0,0.0,4.52,57.3,-5.9
2024-04,Billing & Payments,72,10.2,4.67,75.0,4.2,4.28,40.3,-11.8
2024-05,Billing & Payments,61,10.6,4.14,70.5,3.3,4.46,67.2,-25.0
2024-06,Billing & Payments,61,10.7,4.47,86.9,4.9,4.48,50.8,8.3
2024-07,Billing & Payments,72,8.9,4.47,73.6,5.6,4.42,50.0,-23.1
2024-08,Billing & Payments,66,9.3,4.51,83.3,3.0,4.41,60.6,-25.0
2024-09,Billing & Payments,75,10.6,4.17,80.0,6.7,4.53,50.7,-40.0
2024-10,Billing & Payments,62,9.7,4.43,75.8,1.6,4.4,56.5,-22.2
2024-11,Billing & Payments,113,10.2,4.58,84.1,2.7,4.43,50.4,-20.0
2024-12,Billing & Payments,97,10.5,5.4,74.2,6.2,4.24,59.8,-26.1
2025-01,Billing & Payments,79,10.1,4.28,73.4,5.1,4.49,55.7,-6.7
2025-02,Billing & Payments,80,10.4,4.52,76.2,6.2,4.44,58.8,0.0
2025-03,Billing & Payments,68,6.4,3.86,86.8,2.9,4.68,54.4,-12.5
2025-04,Billing & Payments,73,7.5,4.11,87.7,8.2,4.61,61.6,18.2
2025-05,Billing & Payments,73,7.6,4.12,79.5,4.1,4.44,56.2,-11.1
2025-06,Billing & Payments,66,5.8,4.17,89.4,1.5,4.57,68.2,8.3
2025-07,Billing & Payments,75,7.0,3.75,88.0,4.0,4.58,57.3,-25.0
2025-08,Billing & Payments,72,8.4,4.07,81.9,8.3,4.55,51.4,14.3
2025-09,Billing & Payments,66,7.3,3.87,86.4,1.5,4.7,62.1,30.8
2025-10,Billing & Payments,71,7.2,4.07,93.0,0.0,4.55,62.0,-7.1
2025-11,Billing & Payments,98,7.9,4.27,87.8,5.1,4.67,49.0,17.6
2025-12,Billing & Payments,98,7.0,4.76,87.8,6.1,4.48,44.9,3.8
2026-01,Billing & Payments,81,6.0,4.12,87.7,3.7,4.49,60.5,58.3
2026-02,Billing & Payments,74,6.3,3.95,94.6,2.7,4.67,62.2,-28.6
2026-03,Billing & Payments,82,6.5,4.25,85.4,4.9,4.47,58.5,-16.7
2026-04,Billing & Payments,77,5.5,3.96,76.6,1.3,4.56,70.1,12.5
2026-05,Billing & Payments,79,7.4,4.02,83.5,2.5,4.48,54.4,-5.3
2026-06,Billing & Payments,84,7.1,3.75,90.5,2.4,4.58,59.5,21.4
2026-07,Billing & Payments,80,6.6,3.81,87.5,1.2,4.6,62.5,6.2
2026-08,Billing & Payments,80,7.1,4.18,90.0,6.2,4.56,58.8,-22.2
2024-01,Customer Service,109,10.4,5.12,77.1,5.5,4.42,54.1,0.0
2024-02,Customer Service,81,9.8,4.77,76.5,7.4,4.27,53.1,-11.1
2024-03,Customer Service,93,10.5,4.86,66.7,3.2,4.42,62.4,6.7
2024-04,Customer Service,85,12.5,4.79,72.9,7.1,4.4,58.8,-19.0
2024-05,Customer Service,82,11.6,5.04,64.6,4.9,4.36,52.4,-23.1
2024-06,Customer Service,75,12.4,4.95,76.0,6.7,4.19,53.3,-57.1
2024-07,Customer Service,84,9.9,5.34,72.6,6.0,4.39,50.0,-37.5
2024-08,Customer Service,67,10.5,4.39,70.1,4.5,4.18,46.3,0.0
2024-09,Customer Service,93,10.6,4.69,68.8,6.5,4.34,58.1,-30.8
2024-10,Customer Service,86,10.7,4.78,76.7,8.1,4.39,46.5,33.3
2024-11,Customer Service,131,12.1,5.91,68.7,7.6,4.15,55.7,-28.6
2024-12,Customer Service,146,14.5,6.64,70.5,7.5,4.19,61.0,-31.0
2025-01,Customer Service,106,13.3,5.05,71.7,4.7,4.4,57.5,0.0
2025-02,Customer Service,93,12.3,4.84,71.0,3.2,4.27,65.6,-7.7
2025-03,Customer Service,99,6.6,4.94,79.8,4.0,4.45,53.5,-23.5
2025-04,Customer Service,108,6.4,4.07,75.0,3.7,4.39,51.9,-10.0
2025-05,Customer Service,109,7.7,4.12,78.9,1.8,4.54,51.4,-31.8
2025-06,Customer Service,101,7.6,4.88,77.2,3.0,4.46,54.5,4.3
2025-07,Customer Service,87,9.1,4.59,77.0,4.6,4.48,65.5,-5.0
2025-08,Customer Service,104,8.1,4.52,75.0,2.9,4.58,52.9,-9.1
