Month,Channel,TicketVolume,AvgFirstResponseMinutes,AvgResolutionHours,FCRRate,EscalationRate,AvgCSAT,CSATResponseRate,NPS
2024-01,Chat,147,4.4,6.65,68.7,10.2,4.28,54.4,-10.5
2024-02,Chat,147,5.1,6.66,66.7,9.5,4.17,53.7,-36.8
2024-03,Chat,125,5.3,6.69,64.8,7.2,4.2,59.2,-8.0
2024-04,Chat,136,5.5,6.78,61.0,14.0,4.17,52.9,-27.6
2024-05,Chat,143,5.5,6.51,66.4,9.1,4.15,58.0,4.5
2024-06,Chat,145,4.9,6.97,66.9,14.5,4.23,49.0,-8.0
2024-07,Chat,138,5.0,6.04,60.1,8.0,4.18,55.1,-29.6
2024-08,Chat,161,6.0,6.48,66.5,7.5,4.21,52.2,0.0
2024-09,Chat,171,5.7,6.59,66.7,11.1,4.27,55.0,-19.2
2024-10,Chat,155,5.4,6.32,62.6,9.0,4.09,60.6,-23.1
2024-11,Chat,320,9.0,12.73,56.6,12.8,3.79,53.8,-55.3
2024-12,Chat,328,9.7,13.53,59.5,14.3,3.75,56.4,-47.3
2025-01,Chat,162,5.5,7.25,64.2,8.6,4.17,61.1,-17.1
2025-02,Chat,163,5.1,6.77,60.1,6.7,4.19,62.0,-4.8
2025-03,Chat,234,2.0,6.39,74.4,5.6,4.44,56.8,8.6
2025-04,Chat,230,2.1,6.08,73.0,10.0,4.47,50.9,9.1
2025-05,Chat,221,2.0,6.38,74.7,6.3,4.41,59.3,-18.2
2025-06,Chat,234,2.1,6.35,69.7,9.4,4.44,60.3,-9.1
2025-07,Chat,221,2.0,6.28,76.0,6.3,4.4,58.8,-6.2
2025-08,Chat,251,2.0,6.67,78.5,6.8,4.43,49.0,-14.9
2025-09,Chat,225,2.1,6.21,70.7,7.6,4.44,52.9,-3.2
2025-10,Chat,235,2.0,5.82,72.8,7.2,4.34,60.9,-13.2
2025-11,Chat,273,2.0,6.37,72.9,11.7,4.44,54.6,7.5
2025-12,Chat,312,2.0,6.53,76.9,5.1,4.38,52.9,7.9
2026-01,Chat,243,2.1,6.46,76.1,4.5,4.38,51.0,19.5
2026-02,Chat,246,2.0,6.21,77.2,7.3,4.37,55.3,-5.4
2026-03,Chat,227,2.3,6.05,74.9,9.7,4.42,56.8,-4.0
2026-04,Chat,277,2.1,5.79,73.3,6.9,4.41,61.4,-1.7
2026-05,Chat,205,2.1,6.37,77.1,5.4,4.46,55.6,9.4
2026-06,Chat,246,2.0,5.46,74.0,6.9,4.47,58.9,-9.1
2026-07,Chat,255,2.0,6.47,72.9,6.3,4.44,57.6,0.0
2026-08,Chat,223,2.0,6.58,72.2,11.2,4.37,55.2,-6.4
2024-01,Email,153,20.4,6.97,71.2,10.5,4.15,56.9,-22.6
2024-02,Email,160,21.0,7.41,68.1,12.5,4.06,52.5,-3.8
2024-03,Email,167,19.5,6.93,63.5,11.4,4.21,55.1,-11.5
2024-04,Email,155,20.5,6.37,65.8,9.7,4.16,51.0,-50.0
2024-05,Email,162,20.2,7.6,64.8,7.4,4.13,60.5,-10.3
2024-06,Email,164,22.2,6.77,65.9,15.2,4.21,57.3,-26.9
2024-07,Email,168,18.6,6.55,68.5,9.5,4.1,57.7,-3.4
2024-08,Email,169,17.5,6.82,60.9,11.8,4.12,57.4,-31.0
2024-09,Email,174,20.1,6.07,69.5,7.5,4.27,51.1,-8.7
2024-10,Email,157,17.9,6.6,63.1,7.6,4.09,55.4,-27.6
2024-11,Email,320,30.4,11.54,61.3,14.1,3.79,55.3,-65.5
2024-12,Email,344,33.0,13.08,55.2,13.1,3.71,51.5,-51.6
2025-01,Email,209,19.7,6.99,67.9,10.0,4.3,51.7,-2.6
2025-02,Email,189,20.4,6.98,63.5,9.5,4.13,60.8,-12.5
2025-03,Email,120,16.6,5.38,73.3,5.8,4.53,50.0,4.5
2025-04,Email,127,15.2,6.18,77.2,7.9,4.41,55.1,-4.5
2025-05,Email,135,16.7,5.58,75.6,8.1,4.51,54.1,0.0
2025-06,Email,129,16.2,6.99,86.0,3.9,4.49,51.9,12.5
2025-07,Email,105,15.9,6.42,77.1,5.7,4.46,49.5,0.0
2025-08,Email,114,17.0,5.87,75.4,4.4,4.41,50.0,17.6
2025-09,Email,121,16.8,6.19,78.5,7.4,4.47,50.4,12.5
2025-10,Email,141,15.4,6.59,75.2,5.7,4.43,48.2,-25.9
2025-11,Email,172,15.3,5.6,77.3,6.4,4.44,59.9,21.9
2025-12,Email,175,15.9,6.28,75.4,7.4,4.5,57.1,0.0
2026-01,Email,144,15.0,6.21,77.1,9.7,4.36,55.6,18.2
2026-02,Email,121,16.3,5.96,74.4,4.1,4.43,59.5,-30.0
2026-03,Email,124,17.3,6.24,69.4,6.5,4.46,56.5,-36.8
2026-04,Email,126,15.7,5.92,72.2,5.6,4.5,53.2,4.3
2026-05,Email,123,17.6,6.61,75.6,8.1,4.34,52.0,3.4
2026-06,Email,128,17.9,5.89,73.4,1.6,4.45,60.2,10.3
2026-07,Email,125,15.8,5.81,75.2,5.6,4.44,52.0,6.9
2026-08,Email,141,16.6,6.74,78.0,6.4,4.49,55.3,-3.6
2024-01,Phone,226,12.5,6.51,66.4,11.1,4.14,57.5,-20.7
2024-02,Phone,200,12.7,6.71,71.5,9.5,4.27,56.0,-14.3
2024-03,Phone,204,13.0,6.55,62.3,9.3,4.23,54.4,-23.5
2024-04,Phone,185,12.7,6.81,71.4,5.9,4.36,49.2,-34.2
2024-05,Phone,200,13.3,6.97,60.5,11.5,4.17,63.0,-45.7
2024-06,Phone,193,12.8,6.64,74.6,13.0,4.13,48.7,-5.3
2024-07,Phone,209,13.3,6.84,64.1,7.7,4.26,49.8,-22.0
2024-08,Phone,200,13.2,6.35,66.0,9.5,4.13,54.0,-63.3
2024-09,Phone,208,14.7,6.24,67.3,11.1,4.21,61.1,-48.6
2024-10,Phone,218,12.8,6.96,67.0,9.2,4.19,51.8,-14.6
2024-11,Phone,412,22.7,12.07,58.3,14.1,3.8,57.0,-44.7
2024-12,Phone,471,23.9,14.32,54.6,14.0,3.83,56.3,-45.2
2025-01,Phone,212,13.1,6.46,63.2,9.0,4.13,56.1,-22.0
